PubChem CID,Protein Target
261,PPARGC1A
263,PPARGC1A
305,PPARGC1A
525,PPARGC1A
586,PPARGC1A
727,PPARGC1A
864,PPARGC1A
867,PPARGC1A
896,PPARGC1A
935,PPARGC1A
936,PPARGC1A
938,PPARGC1A
970,PPARGC1A
977,PPARGC1A
985,PPARGC1A
1024,PPARGC1A
1032,PPARGC1A
1054,PPARGC1A
1060,PPARGC1A
1456,PPARGC1A
1983,PPARGC1A
2148,PPARGC1A
2157,PPARGC1A
2236,PPARGC1A
2256,PPARGC1A
2336,PPARGC1A
2347,PPARGC1A
2554,PPARGC1A
2730,PPARGC1A
2796,PPARGC1A
2969,PPARGC1A
3033,PPARGC1A
3035,PPARGC1A
3121,PPARGC1A
3339,PPARGC1A
3715,PPARGC1A
3758,PPARGC1A
3767,PPARGC1A
3827,PPARGC1A
3893,PPARGC1A
3899,PPARGC1A
3973,PPARGC1A
4091,PPARGC1A
4156,PPARGC1A
4829,PPARGC1A
5258,PPARGC1A
5281,PPARGC1A
5311,PPARGC1A
5350,PPARGC1A
5564,PPARGC1A
5591,PPARGC1A
5694,PPARGC1A
5743,PPARGC1A
5754,PPARGC1A
5757,PPARGC1A
5920,PPARGC1A
5971,PPARGC1A
5984,PPARGC1A
5991,PPARGC1A
5994,PPARGC1A
6083,PPARGC1A
6166,PPARGC1A
6410,PPARGC1A
6560,PPARGC1A
6569,PPARGC1A
6579,PPARGC1A
6623,PPARGC1A
6626,PPARGC1A
6758,PPARGC1A
9254,PPARGC1A
11005,PPARGC1A
12035,PPARGC1A
15625,PPARGC1A
15939,PPARGC1A
16078,PPARGC1A
17473,PPARGC1A
17513,PPARGC1A
19001,PPARGC1A
20393,PPARGC1A
23648,PPARGC1A
23954,PPARGC1A
23973,PPARGC1A
23978,PPARGC1A
24261,PPARGC1A
24462,PPARGC1A
24466,PPARGC1A
24502,PPARGC1A
24947,PPARGC1A
31703,PPARGC1A
33032,PPARGC1A
36462,PPARGC1A
37175,PPARGC1A
39484,PPARGC1A
41322,PPARGC1A
47936,PPARGC1A
60700,PPARGC1A
60961,PPARGC1A
67821,PPARGC1A
68740,PPARGC1A
68827,PPARGC1A
71821,PPARGC1A
73864,PPARGC1A
77999,PPARGC1A
91501,PPARGC1A
91754,PPARGC1A
92283,PPARGC1A
104741,PPARGC1A
104865,PPARGC1A
107737,PPARGC1A
108007,PPARGC1A
119034,PPARGC1A
122162,PPARGC1A
124886,PPARGC1A
157991,PPARGC1A
171548,PPARGC1A
186907,PPARGC1A
261000,PPARGC1A
387447,PPARGC1A
439155,PPARGC1A
439213,PPARGC1A
443101,PPARGC1A
444254,PPARGC1A
444732,PPARGC1A
445154,PPARGC1A
446284,PPARGC1A
448457,PPARGC1A
448537,PPARGC1A
449171,PPARGC1A
449241,PPARGC1A
449459,PPARGC1A
462382,PPARGC1A
493570,PPARGC1A
518605,PPARGC1A
638015,PPARGC1A
2733526,PPARGC1A
2777391,PPARGC1A
2827646,PPARGC1A
3006531,PPARGC1A
3825829,PPARGC1A
4521392,PPARGC1A
5113032,PPARGC1A
5280343,PPARGC1A
5280450,PPARGC1A
5280453,PPARGC1A
5280793,PPARGC1A
5280805,PPARGC1A
5280863,PPARGC1A
5281727,PPARGC1A
5282411,PPARGC1A
5284373,PPARGC1A
5310993,PPARGC1A
5315615,PPARGC1A
5357402,PPARGC1A
5359596,PPARGC1A
6112114,PPARGC1A
6422843,PPARGC1A
6438587,PPARGC1A
6509863,PPARGC1A
6518171,PPARGC1A
6918141,PPARGC1A
6918788,PPARGC1A
7045767,PPARGC1A
7203539,PPARGC1A
9576412,PPARGC1A
9577124,PPARGC1A
9578570,PPARGC1A
9803963,PPARGC1A
9848818,PPARGC1A
9913268,PPARGC1A
11048796,PPARGC1A
11285653,PPARGC1A
11524144,PPARGC1A
11556711,PPARGC1A
11581936,PPARGC1A
11595431,PPARGC1A
11751549,PPARGC1A
11963622,PPARGC1A
16682730,PPARGC1A
21599924,PPARGC1A
44176376,PPARGC1A
54670067,PPARGC1A
86278622,PPARGC1A
135398604,PPARGC1A
135398735,PPARGC1A
135419186,PPARGC1A
135484659,PPARGC1A
